lowest,highest,proj_date,projected_balance,bills
false,false,2025-06-20,4325.91,"[{""id"":""64562358-34ed-410f-b1ea-cce2466d626f"",""name"":""Factor"",""note"":"""",""owner"":""Both"",""amount"":-88.93,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-22"",""repeats_every"":1},{""id"":""58868730-9e23-4c64-a593-ea43efb77649"",""name"":""Food & Drinks"",""note"":"""",""owner"":""Both"",""amount"":-800,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-23"",""repeats_every"":1}]"
false,false,2025-06-24,4205.36,[]
false,false,2025-06-28,3216.43,[]
false,false,2025-07-02,-2215.56,"[{""id"":""4257dbda-f2f6-4920-a3a4-9f2bf64a1768"",""name"":""Garner Rent"",""note"":"""",""owner"":""Both"",""amount"":-5100,""category"":""house"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-07-02"",""repeats_every"":1},{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1},{""id"":""3b69e7a5-795c-415d-b661-c2d7089837ef"",""name"":""Utilities"",""note"":"""",""owner"":""Both"",""amount"":-154.74,""category"":""house"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-06-02"",""repeats_every"":1}]"
false,false,2025-07-06,-2304.49,[]
false,false,2025-07-10,-3992.75,"[{""id"":""64562358-34ed-410f-b1ea-cce2466d626f"",""name"":""Factor"",""note"":"""",""owner"":""Both"",""amount"":-88.93,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-22"",""repeats_every"":1}]"
false,false,2025-08-26,-2461.6,[]
false,false,2025-08-30,3777.26,[]
false,false,2025-07-18,1049.34,"[{""id"":""58868730-9e23-4c64-a593-ea43efb77649"",""name"":""Food & Drinks"",""note"":"""",""owner"":""Both"",""amount"":-800,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-23"",""repeats_every"":1},{""id"":""d71bdcce-46ec-4d52-a045-fc2426a26a74"",""name"":""Prime Video No Ads"",""note"":"""",""owner"":""Both"",""amount"":-3.24,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-03-18"",""repeats_every"":1},{""id"":""b7757ca1-806f-4533-94ec-baa49141af7a"",""name"":""Spotify"",""note"":"""",""owner"":""Both"",""amount"":-18.39,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-04-18"",""repeats_every"":1},{""id"":""ef4e92dd-57e1-4f76-a266-a12a6e3af4b7"",""name"":""T-Mobile"",""note"":"""",""owner"":""Brady"",""amount"":-120.68,""category"":""mobile phone"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-04-18"",""repeats_every"":1}]"
false,false,2025-07-22,928.79,[]
false,false,2025-07-26,-2086.82,[]
false,false,2025-07-30,-2293.57,"[{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1}]"
false,false,2025-08-03,3295.95,[]
